r_c_ground t [s],r_c_ground r [mm],r_f_ground t [s],r_f_ground r [mm],r_f_PF t [s],r_f_PF r [mm],r_c_PF t [s],r_c_PF r [mm]
203.79746835443035,15.09478672985782,220.07233273056056,19.98222748815166,235.98553345388788,21.877962085308056,235.98553345388788,17.79028436018957
243.94213381555156,17.197867298578203,243.94213381555156,21.22630331753554,259.8553345388789,22.82582938388626,259.8553345388789,18.678909952606634
284.0867992766727,18.767772511848342,267.8119349005425,22.233412322274884,284.0867992766727,23.862559241706162,283.72513562386985,19.597156398104264
323.86980108499097,20.189573459715643,291.68173598553335,23.24052132701422,307.95660036166373,24.81042654028436,307.95660036166373,20.48578199052133
364.0144665461121,21.52251184834123,315.91320072332735,24.15876777251185,331.82640144665464,25.75829383886256,331.82640144665464,21.344786729857823
403.7974683544304,22.82582938388626,339.7830018083182,25.07701421800948,355.6962025316456,26.64691943127962,355.6962025316456,22.144549763033176
443.94213381555164,24.010663507109008,364.0144665461121,25.876777251184834,379.92766726943944,27.476303317535546,379.92766726943955,22.855450236966824
484.08679927667276,25.225118483412324,387.88426763110306,26.735781990521325,403.7974683544304,28.513033175355453,403.7974683544304,23.71445497630332
523.508137432188,26.380331753554504,412.11573236889694,27.59478672985782,428.0289330922243,29.25355450236967,427.6672694394214,24.395734597156398
564.0144665461122,27.50592417061611,435.9855334538879,28.364928909952607,451.89873417721526,30.082938388625593,451.89873417721526,25.136255924170616
,,459.8553345388789,29.19431279620853,475.7685352622062,30.85308056872038,475.7685352622062,25.847156398104268
,,484.08679927667276,29.96445497630332,500.0000000000001,31.593601895734597,499.6383363471972,26.558056872037916
,,507.9566003616636,30.734597156398106,523.8698010849911,32.36374407582939,523.8698010849911,27.239336492890995
,,531.8264014466548,31.50473933649289,548.1012658227849,33.074644549763036,547.7396021699819,27.86137440758294
,,556.0578661844487,32.21563981042654,,,,
,,579.9276672694396,32.926540284360186,,,,
