PF r [mm],PF t [s],Ground r [mm],Ground t [s]
1.3975155279503104,7.713178294573645,1.3975155279503104,10.503875968992247
1.8012422360248452,9.147286821705428,1.8944099378881987,12.4031007751938
2.204968944099379,10.42635658914729,2.4068322981366466,14.10852713178295
2.608695652173913,11.589147286821706,2.903726708074535,15.658914728682173
2.9968944099378882,12.674418604651166,3.400621118012423,17.015503875968996
3.400621118012423,13.720930232558143,3.8975155279503104,18.294573643410853
3.7888198757763973,14.689922480620158,4.394409937888199,19.496124031007753
4.192546583850932,15.620155038759691,4.906832298136647,20.658914728682173
4.596273291925466,16.472868217054266,5.403726708074535,21.70542635658915
5.00,17.325581395348838,5.900621118012422,22.751937984496127
5.388198757763975,18.10077519379845,6.397515527950311,23.68217054263566
5.807453416149068,18.875968992248065,6.894409937888199,24.612403100775197
6.195652173913043,19.612403100775197,7.391304347826088,25.50387596899225
6.599378881987578,20.310077519379846,7.903726708074535,26.356589147286826
7.003105590062113,21.007751937984498,8.400621118012422,27.209302325581397
7.391304347826088,21.666666666666668,8.897515527950311,28.02325581395349
7.795031055900621,22.32558139534884,9.394409937888199,28.837209302325583
8.198757763975156,22.94573643410853,9.906832298136646,29.573643410852718
8.60248447204969,23.56589147286822,10.403726708074535,30.348837209302328
9.006211180124224,24.18604651162791,10.900621118012422,31.04651162790698
9.409937888198758,24.8062015503876,11.397515527950311,31.78294573643411
9.798136645962733,25.38759689922481,11.909937888198758,32.480620155038764
10.201863354037267,25.96899224806202,12.406832298136646,33.139534883720934
10.605590062111801,26.511627906976745,12.903726708074535,33.798449612403104
10.993788819875776,27.054263565891475,13.400621118012424,34.49612403100775
11.397515527950311,27.596899224806204,13.897515527950311,35.116279069767444
11.801242236024844,28.139534883720934,14.394409937888199,35.736434108527135
12.20496894409938,28.64341085271318,14.906832298136646,36.356589147286826
12.608695652173914,29.14728682170543,15.403726708074533,36.93798449612403
12.996894409937887,29.651162790697676,15.91614906832298,37.55813953488372
13.400621118012424,30.155038759689923,16.39751552795031,38.139534883720934
13.804347826086957,30.62015503875969,16.8944099378882,38.720930232558146
14.19254658385093,31.124031007751938,17.391304347826086,39.26356589147287
14.596273291925467,31.589147286821706,17.903726708074533,39.844961240310084
15.01552795031056,32.054263565891475,,
15.403726708074533,32.51937984496124,,
15.80745341614907,32.98449612403101,,
16.211180124223603,33.4108527131783,,
16.59937888198758,33.83720930232558,,
17.003105590062113,34.30232558139535,,
17.406832298136646,34.72868217054264,,
17.810559006211182,35.15503875968992,,
